E,5,down,
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
X,K,S,G,P,G,S,K,S,G,G,G,G,G,G,S,G,G,G,G,G,G,S,G,S,G,G,G,G,G,S,G,G,S,G,S,G,G,G,G,S,G,S,G,G,G,G,S,G,S,G,G,G,G,G,S,K,S,B,X,
X,G,G,G,G,G,G,G,G,G,G,S,G,G,G,G,S,G,S,K,S,G,G,S,G,G,G,G,G,S,G,G,G,S,G,G,S,G,G,K,S,S,G,S,G,S,G,K,S,G,G,S,G,G,S,G,G,G,G,X,
X,G,S,G,S,G,S,K,S,G,G,G,S,S,S,G,G,S,G,S,G,G,G,S,G,G,G,G,B,S,G,G,G,G,G,G,G,S,G,S,G,G,G,G,S,G,S,G,S,G,G,K,G,G,G,G,G,G,G,X,
X,K,S,G,S,G,G,S,G,G,G,S,G,G,G,S,G,G,G,G,G,S,G,S,K,S,G,G,S,G,G,G,G,G,G,S,G,S,G,G,S,G,K,G,G,S,G,G,G,S,G,S,G,S,G,S,S,S,G,X,
X,S,G,G,G,S,G,G,S,S,G,S,G,S,G,K,S,G,S,G,S,S,G,G,S,K,S,G,G,G,G,G,S,G,G,G,G,S,G,S,G,S,S,S,G,S,S,G,G,S,G,G,G,G,G,S,O,S,G,X,
X,G,G,S,G,G,S,K,G,G,G,G,G,K,S,S,G,G,G,S,G,G,G,G,G,G,G,G,G,G,G,S,K,S,K,S,G,S,G,G,S,G,G,G,S,K,G,S,S,K,G,G,G,G,G,S,S,S,G,X,
X,G,S,K,G,G,G,S,S,G,S,G,S,S,G,G,G,G,G,G,K,G,S,G,G,S,K,S,G,S,G,G,G,G,S,G,G,S,G,G,G,G,S,G,G,S,G,S,G,G,G,G,S,G,G,G,G,G,G,X,
X,G,G,S,G,G,G,G,G,G,K,S,G,G,S,S,G,G,S,G,G,S,K,S,G,G,G,S,G,G,G,G,G,G,G,S,G,S,G,S,G,G,S,S,S,G,G,G,G,S,G,G,G,S,G,G,G,G,G,X,
X,S,S,S,G,G,S,G,S,S,S,G,G,G,G,G,S,K,G,S,G,G,G,G,G,G,G,G,G,G,G,S,K,K,S,K,S,G,S,K,G,S,G,G,G,G,G,G,G,G,S,G,G,G,G,G,G,S,G,X,
X,G,G,G,G,G,G,S,K,G,S,G,S,K,S,G,G,S,G,G,G,G,G,G,S,S,G,G,S,G,G,G,S,S,G,G,S,G,G,G,G,S,G,S,G,G,K,S,G,G,G,G,S,K,G,G,S,K,G,X,
X,G,G,S,S,G,S,G,G,G,K,G,G,G,G,G,S,G,G,G,G,S,G,G,G,K,S,G,S,G,G,S,G,G,G,G,G,S,G,G,G,G,G,S,G,S,S,G,G,G,G,G,S,S,G,S,K,S,G,X,
X,G,S,K,S,G,G,S,G,S,G,G,S,S,S,S,G,G,G,G,S,K,S,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,S,S,G,G,B,G,G,G,G,G,S,G,G,G,G,G,G,G,S,G,X,
X,G,G,G,G,S,G,G,S,G,G,S,S,K,G,G,G,G,G,S,K,S,G,S,G,G,G,G,S,G,S,S,K,S,G,S,S,G,S,K,S,G,S,S,S,G,G,G,S,K,S,G,S,G,G,G,G,S,G,X,
X,S,G,G,S,K,S,G,G,G,S,G,G,S,G,G,S,B,S,K,S,K,G,G,S,G,G,G,G,K,S,G,G,G,G,G,G,G,G,S,G,G,G,K,S,G,G,G,G,G,S,G,G,S,G,S,S,G,G,X,
X,K,G,S,G,S,G,G,S,G,K,G,G,G,S,G,G,S,G,G,G,S,G,G,G,S,G,G,G,S,K,G,G,G,G,S,S,S,S,G,G,S,G,G,S,G,G,S,K,G,S,K,G,S,G,G,G,S,S,X,
X,G,G,S,G,G,G,G,G,G,S,G,G,S,G,G,S,G,G,G,G,G,S,G,G,G,G,G,G,G,S,G,S,G,S,G,G,G,S,S,S,K,S,G,G,S,G,K,S,G,G,G,S,G,G,S,G,G,K,X,
X,G,S,G,G,G,S,G,S,G,S,G,S,G,G,S,G,G,G,G,G,G,G,S,G,G,G,G,G,G,G,G,G,G,S,G,G,S,G,G,G,G,S,G,G,G,S,G,G,G,G,G,S,G,G,S,K,G,S,X,
X,G,G,G,G,K,S,S,S,G,G,G,G,G,G,G,S,S,S,G,G,G,G,S,G,G,S,G,S,G,G,S,S,G,S,G,G,K,S,G,G,G,S,G,G,G,G,S,G,G,G,G,K,G,G,G,S,G,S,X,
X,S,S,G,S,S,G,G,G,S,G,G,G,S,G,G,S,K,G,G,G,S,G,G,G,G,G,G,G,G,S,B,G,G,S,S,S,S,G,G,S,G,S,G,S,G,G,S,G,G,G,G,S,G,G,G,G,G,G,X,
X,K,G,G,G,G,G,S,G,S,G,S,G,G,G,G,S,G,S,G,G,K,S,S,G,G,S,G,G,G,G,S,S,G,K,G,G,G,G,S,K,G,S,K,S,G,G,S,G,G,S,G,G,G,S,G,G,G,G,X,
X,G,G,G,S,S,G,S,G,S,G,K,S,G,G,G,G,G,G,S,G,S,K,G,S,G,G,G,G,G,G,G,G,G,S,G,S,K,S,G,S,G,S,G,S,G,G,S,G,G,K,G,S,S,B,S,S,S,S,X,
X,S,S,S,B,G,G,G,G,S,G,G,G,G,G,G,G,S,K,S,G,S,S,G,G,G,G,K,S,S,G,S,G,G,S,G,S,S,S,S,G,G,S,G,S,G,G,G,G,G,S,G,K,S,G,S,S,S,S,X,
